tconst,stars,n,date
tt0032599,3,545,2023-02-14
tt0032599,4,829,2023-02-14
tt0032599,5,1981,2023-02-14
tt0032599,6,4676,2023-02-14
tt0032599,7,10992,2023-02-14
tt0032599,8,16729,2023-02-14
tt0032599,9,11179,2023-02-14
tt0032599,10,11562,2023-02-14
tt0032904,1,1378,2023-02-14
tt0032904,2,398,2023-02-14
tt0032904,3,552,2023-02-14
tt0032904,4,1025,2023-02-14
tt0032904,5,2291,2023-02-14
tt0032904,6,5092,2023-02-14
tt0032904,7,12068,2023-02-14
tt0032904,8,18785,2023-02-14
tt0032904,9,13477,2023-02-14
tt0032904,10,15506,2023-02-14
tt0032910,1,903,2023-02-14
tt0032910,2,696,2023-02-14
tt0032910,3,1252,2023-02-14
tt0032910,4,2607,2023-02-14
tt0032910,5,7274,2023-02-14
tt0032910,6,19305,2023-02-14
tt0032910,7,44752,2023-02-14
tt0032910,8,40959,2023-02-14
tt0032910,9,15171,2023-02-14
tt0032910,10,17590,2023-02-14
tt0032976,1,2145,2023-02-14
tt0032976,2,703,2023-02-14
tt0032976,3,888,2023-02-14
tt0032976,4,1362,2023-02-14
tt0032976,5,3535,2023-02-14
tt0032976,6,8524,2023-02-14
tt0032976,7,23783,2023-02-14
tt0032976,8,43111,2023-02-14
tt0032976,9,29978,2023-02-14
tt0032976,10,24881,2023-02-14
tt0033045,1,460,2023-02-14
tt0033045,2,109,2023-02-14
tt0033045,3,258,2023-02-14
tt0033045,4,254,2023-02-14
tt0033045,5,790,2023-02-14
tt0033045,6,2066,2023-02-14
tt0033045,7,6150,2023-02-14
tt0033045,8,11297,2023-02-14
tt0033045,9,7113,2023-02-14
tt0033045,10,6441,2023-02-14
tt0033467,1,8831,2023-02-14
tt0033467,2,3522,2023-02-14
tt0033467,3,4544,2023-02-14
tt0033467,4,6994,2023-02-14
tt0033467,5,13668,2023-02-14
tt0033467,6,26497,2023-02-14
tt0033467,7,59687,2023-02-14
tt0033467,8,101723,2023-02-14
tt0033467,9,95775,2023-02-14
tt0033467,10,124347,2023-02-14
tt0033563,1,833,2023-02-14
tt0033563,2,759,2023-02-14
tt0033563,3,1369,2023-02-14
tt0033563,4,2986,2023-02-14
tt0033563,5,8492,2023-02-14
tt0033563,6,21272,2023-02-14
tt0033563,7,42436,2023-02-14
tt0033563,8,30946,2023-02-14
tt0033563,9,11784,2023-02-14
tt0033563,10,13746,2023-02-14
tt0033729,1,329,2023-02-14
tt0033729,2,159,2023-02-14
tt0033729,3,223,2023-02-14
